channel_handle,channel_name,subscribers,n_videos,total_views,median_views,max_views,mean_duration_sec,top_video_title
channel/UCI0vQvr9aFn27yR6Ej6n5UA,Real Python,207000.0,39,27778,658,1974,1971,uv vs pip: Python Packaging and Dependency Management: Comparing uv and pip & their Organizations
@EntropyWSE,Entropy - Wissenschaft Schnell Erklärt,,39,1320024,22116,206635,1460,Zeit existiert vielleicht nicht – und Physiker verstehen jetzt warum
@thesomalilandtourists-SamiyaHa,The Somaliland Tourists - Samiya Hashi,100000.0,39,531272,12205,39612,1271,WE ARE BACK | HARGEISA SOMALILAND 2026
@miamigodinero,Germán - Mi Amigo Dinero,294000.0,39,2901590,45778,371531,880,La situación en NU está INTENSA. (Están cerrando cuentas)
@KISUKEg,きすけ劇場,,39,2760619,54398,199159,1275,【Amazonプライムの特級呪物】視聴者がダントツでやばいと語る映画「みぽりん」を体験したので聞いてくれ
@mrbarrylewis,Barry Lewis,1040000.0,39,3015422,66779,270895,1204,I Tried Viral Recipes So You Don’t Waste Your Time
channel/UCDshKIMtFjYreCzApleuV8w,StayAtHomeDev,66100.0,38,564506,12629,118531,482,Slay the Spire 2 Said No to Unity - Now It's #1 on Steam
@KIYOisGOD,キヨ。,5660000.0,38,93683895,2317201,6008334,11386,世界中で大流行している化け物ホラーゲーム『 Poppy Playtime Chapter 5 』
@Pina,PiñaColadaSad,3030000.0,38,9138027,185099,626175,5263,"🔶Es el HÉROE DE RANGO F MÁS DÉBIL, pero hace a un LOBO LEGENDARIO su MASCOTA (S2) | Anime Resumen"
@ReggatonLatino,Reggaeton Latino Mix,,38,1719858,12847,805072,3651,Musica De Moda 2026 Variada ☀️ MIX REGGAETON FIN DE AÑO 2025 🎉 AÑO NUEVO 2026 🎉  LO MAS NUEVO
@andyandalex,Andy & Alex,181000.0,38,806316,18788,54466,588,How Have We Not Heard thid ABBA Song Yet?? | Andy & Alex FIRST TIME REACTION!
channel/UC3aj05GEEyzdOqYM5FLSFeg,midulive,447000.0,38,2562772,61152,187720,611,¿El fin de las empresas de Software?
